personal_number,date,start_time,end_time,place,move_method,departure,destination,with_companion,companion_note,remarks
T123001,2024/3/1,9:00:00,10:00:00,自宅,徒歩,自宅,スーパー,0,,食料品購入
T223002,2024/3/1,11:00:00,12:30:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T123003,2024/3/2,14:00:00,15:00:00,カフェ,徒歩,自宅,カフェ,1,友人A,打ち合わせ
T223004,2024/3/2,10:00:00,11:00:00,病院,車,自宅,病院,0,,定期検診
U000005,2024/3/3,16:00:00,17:00:00,スポーツジム,徒歩,自宅,スポーツジム,0,,筋トレ
T223006,2024/3/3,9:30:00,10:30:00,図書館,自転車,自宅,図書館,0,,資料調査
T123007,2024/3/4,18:00:00,19:00:00,レストラン,電車,職場,レストラン,1,同僚B,会食
T223008,2024/3/4,8:00:00,9:00:00,駅,徒歩,自宅,駅,0,,出張
T123009,2024/3/5,13:00:00,14:00:00,銀行,徒歩,職場,銀行,0,,振込手続き
T223010,2024/3/5,17:00:00,18:00:00,自宅,徒歩,スーパー,自宅,0,,夕食の準備
T123011,2024/3/6,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223012,2024/3/6,19:00:00,20:00:00,居酒屋,徒歩,職場,居酒屋,1,同僚C,飲み会
T123013,2024/3/7,10:00:00,11:00:00,郵便局,自転車,自宅,郵便局,0,,荷物発送
T223014,2024/3/7,15:00:00,16:00:00,公園,徒歩,自宅,公園,1,子供D,散歩
U000015,2024/3/8,8:30:00,9:30:00,美容室,車,自宅,美容室,0,,カット
T223016,2024/3/8,12:00:00,13:00:00,レストラン,徒歩,職場,レストラン,0,,ランチ
T123017,2024/3/9,11:00:00,12:00:00,家電量販店,車,自宅,家電量販店,0,,新製品チェック
T223018,2024/3/9,15:00:00,16:00:00,映画館,電車,自宅最寄駅,映画館最寄駅,1,友人E,映画鑑賞
T123019,2024/3/10,9:00:00,10:00:00,パン屋,徒歩,自宅,パン屋,0,,朝食購入
T223020,2024/3/10,13:00:00,14:00:00,イベント会場,車,自宅,イベント会場,0,,趣味のイベント参加
T123021,2024/3/11,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223022,2024/3/11,18:00:00,19:00:00,書店,徒歩,職場,書店,0,,書籍購入
T123023,2024/3/12,10:00:00,11:00:00,役所,車,自宅,役所,0,,住民票取得
T223024,2024/3/12,14:00:00,15:00:00,喫茶店,徒歩,自宅,喫茶店,1,友人F,お茶
T123025,2024/3/13,16:00:00,17:00:00,クリーニング店,自転車,自宅,クリーニング店,0,,洗濯物受け取り
T223026,2024/3/13,9:30:00,10:30:00,郵便局,徒歩,職場,郵便局,0,,郵便物投函
U000027,2024/3/14,18:00:00,19:00:00,バー,電車,職場,バー,1,同僚G,二次会
T223028,2024/3/14,8:00:00,9:00:00,空港,車,自宅,空港,0,,旅行出発
T123029,2024/3/15,13:00:00,14:00:00,公園,徒歩,自宅,公園,0,,ウォーキング
T223030,2024/3/15,17:00:00,18:00:00,自宅,徒歩,スーパー,自宅,0,,夕食の準備
T123031,2024/3/16,9:00:00,10:00:00,自宅,徒歩,自宅,コンビニ,0,,日用品購入
T223032,2024/3/16,11:00:00,12:30:00,美術館,電車,自宅最寄駅,美術館最寄駅,0,,絵画鑑賞
T123033,2024/3/17,14:00:00,15:00:00,ホームセンター,車,自宅,ホームセンター,0,,DIY用品購入
T223034,2024/3/17,10:00:00,11:00:00,薬局,徒歩,自宅,薬局,0,,薬の購入
T123035,2024/3/18,16:00:00,17:00:00,フィットネスクラブ,徒歩,自宅,フィットネスクラブ,0,,運動
T223036,2024/3/18,9:30:00,10:30:00,銀行,自転車,職場,銀行,0,,給料振込確認
T123037,2024/3/19,18:00:00,19:00:00,友人宅,車,自宅,友人宅,1,友人H,食事会
T223038,2024/3/19,8:00:00,9:00:00,バス停,徒歩,自宅,バス停,0,,通勤
U000039,2024/3/20,13:00:00,14:00:00,映画館,電車,自宅最寄駅,映画館最寄駅,0,,映画鑑賞
T223040,2024/3/20,17:00:00,18:00:00,自宅,徒歩,スーパー,自宅,0,,夕食の準備
T123041,2024/3/21,9:00:00,17:00:00,職場,電車,自宅最寄駅,職場最寄駅,0,,通常勤務
T223042,2024/3/21,19:00:00,20:00:00,カラオケ,徒歩,職場,カラオケ,1,同僚I,歌の練習
T123043,2024/3/22,10:00:00,11:00:00,美容院,車,自宅,美容院,0,,カラーリング
T223044,2024/3/22,15:00:00,16:00:00,公園,徒歩,自宅,公園,1,子供J,遊具で遊ぶ
T123045,2024/3/23,8:30:00,9:30:00,ゴルフ練習場,車,自宅,ゴルフ練習場,0,,打ちっぱなし
T223046,2024/3/23,12:00:00,13:00:00,フードコート,徒歩,買い物帰り,フードコート,0,,昼食
T123047,2024/3/24,11:00:00,12:00:00,アウトレットモール,車,自宅,アウトレットモール,0,,買い物
